,C1_lm,a_gamma_lm,b_gamma_lm,coef_flow,beta,const_flow,stage_flow,std_lm,met_input
255,29749313.574,1.000,36.631,-6311.454,1.192,-38478.796,15.500,110884.899,Rch_000
256,29749313.574,1.000,36.969,-6311.454,1.192,-38478.796,15.500,110884.899,Rch_000
257,29714212.046,1.000,36.969,-6311.454,1.192,-38478.796,15.500,110884.899,Rch_000
258,29714212.046,1.000,36.969,-6311.454,1.192,-38478.796,15.500,119283.686,Rch_000
259,29714212.046,1.000,36.899,-6311.454,1.192,-38478.796,15.500,119283.686,Rch_000
260,29714212.046,1.000,36.899,-6311.454,1.192,-38599.661,15.500,119283.686,Rch_000
261,29714212.046,1.000,36.354,-6311.454,1.192,-38599.661,15.500,119283.686,Rch_000
262,29714212.046,1.000,36.858,-6311.454,1.192,-38599.661,15.500,119283.686,Rch_000
263,29714212.046,1.000,36.858,-6311.454,1.194,-38599.661,15.500,119283.686,Rch_000
264,29714212.046,1.000,36.858,-6311.454,1.194,-38599.661,15.500,119709.449,Rch_000
265,29714212.046,1.000,36.858,-6311.454,1.194,-38599.661,15.500,121886.340,Rch_000
266,29714212.046,1.000,36.195,-6311.454,1.194,-38599.661,15.500,121886.340,Rch_000
267,29714212.046,1.000,35.876,-6311.454,1.194,-38599.661,15.500,121886.340,Rch_000
268,29714212.046,1.000,35.876,-6304.594,1.194,-38599.661,15.500,121886.340,Rch_000
269,29620253.606,1.000,35.876,-6304.594,1.194,-38599.661,15.500,121886.340,Rch_000
270,29620253.606,1.000,35.876,-6266.768,1.194,-38599.661,15.500,121886.340,Rch_000
271,29532543.549,1.000,35.876,-6266.768,1.194,-38599.661,15.500,121886.340,Rch_000
272,29532543.549,1.000,35.876,-6266.768,1.192,-38599.661,15.500,121886.340,Rch_000
273,29532543.549,1.000,36.318,-6266.768,1.192,-38599.661,15.500,121886.340,Rch_000
274,29532543.549,1.000,36.318,-6266.768,1.192,-38599.661,15.500,124947.632,Rch_000
275,29532543.549,1.000,36.318,-6266.768,1.192,-38599.661,15.500,118947.257,Rch_000
276,29504539.693,1.000,36.318,-6266.768,1.192,-38599.661,15.500,118947.257,Rch_000
277,29504539.693,1.000,35.884,-6266.768,1.192,-38599.661,15.500,118947.257,Rch_000
278,29504539.693,1.000,35.884,-6254.179,1.192,-38599.661,15.500,118947.257,Rch_000
279,29504539.693,1.000,36.153,-6254.179,1.192,-38599.661,15.500,118947.257,Rch_000
280,29521981.954,1.000,36.153,-6254.179,1.192,-38599.661,15.500,118947.257,Rch_000
281,29521981.954,1.000,36.153,-6254.179,1.192,-38599.661,15.500,118204.808,Rch_000
282,29521981.954,1.000,36.449,-6254.179,1.192,-38599.661,15.500,118204.808,Rch_000
283,29521981.954,1.000,36.922,-6254.179,1.192,-38599.661,15.500,118204.808,Rch_000
284,29521981.954,1.000,36.922,-6254.179,1.193,-38599.661,15.500,118204.808,Rch_000
285,29521981.954,1.000,36.922,-6254.179,1.193,-38599.661,15.500,118776.782,Rch_000
286,29521981.954,1.000,36.922,-6254.179,1.193,-38519.202,15.500,118776.782,Rch_000
287,29521981.954,1.000,36.638,-6254.179,1.193,-38519.202,15.500,118776.782,Rch_000
288,29521981.954,1.000,36.638,-6254.179,1.193,-38519.202,15.500,116641.835,Rch_000
289,29521981.954,1.000,36.638,-6281.131,1.193,-38519.202,15.500,116641.835,Rch_000
290,29521981.954,1.000,36.638,-6281.131,1.193,-38519.202,15.500,116641.835,Rch_000
291,29541755.989,1.000,36.638,-6281.131,1.193,-38519.202,15.500,116641.835,Rch_000
