,C1_em,C0_em,a_gamma_em,b_gamma_em,std_em,met_input
298,1327732342.954,-3158695.092,1.912,41.322,113180.214,Rch_005
299,1327732342.954,-3158695.092,1.912,41.325,113180.214,Rch_005
300,1327732342.954,-3158695.092,1.919,41.325,113180.214,Rch_005
301,1327732342.954,-3158695.092,1.919,41.325,113180.214,Rch_005
302,1327732342.954,-3158695.092,1.932,41.325,113180.214,Rch_005
303,1327732342.954,-3158695.092,1.932,41.325,111942.316,Rch_005
304,1327732342.954,-3158695.092,1.926,41.325,111942.316,Rch_005
305,1327732342.954,-3158695.092,1.926,41.324,111942.316,Rch_005
306,1327732342.954,-3157798.968,1.926,41.324,111942.316,Rch_005
307,1327732342.954,-3157798.968,1.926,41.324,111942.316,Rch_005
308,1325208480.426,-3157798.968,1.926,41.324,111942.316,Rch_005
309,1325208480.426,-3157798.968,1.926,41.324,111942.316,Rch_005
310,1325208480.426,-3157798.968,1.926,41.322,111942.316,Rch_005
311,1323114445.170,-3157798.968,1.926,41.322,111942.316,Rch_005
312,1323114445.170,-3157798.968,1.926,41.325,111942.316,Rch_005
313,1324787271.215,-3157798.968,1.926,41.325,111942.316,Rch_005
314,1324787271.215,-3152572.342,1.926,41.325,111942.316,Rch_005
315,1324787271.215,-3152572.342,1.926,41.326,111942.316,Rch_005
316,1324787271.215,-3152572.342,1.926,41.322,111942.316,Rch_005
317,1324787271.215,-3152572.342,1.926,41.322,111940.368,Rch_005
318,1324787271.215,-3152572.342,1.922,41.322,111940.368,Rch_005
319,1319836188.685,-3152572.342,1.922,41.322,111940.368,Rch_005
320,1325370318.256,-3152572.342,1.922,41.322,111940.368,Rch_005
321,1325370318.256,-3152572.342,1.922,41.323,111940.368,Rch_005
322,1325370318.256,-3152572.342,1.922,41.325,111940.368,Rch_005
323,1325370318.256,-3152572.342,1.922,41.327,111940.368,Rch_005
324,1325370318.256,-3152572.342,1.921,41.327,111940.368,Rch_005
325,1325370318.256,-3152572.342,1.921,41.331,111940.368,Rch_005
326,1325370318.256,-3152572.342,1.934,41.331,111940.368,Rch_005
327,1325370318.256,-3152572.342,1.934,41.334,111940.368,Rch_005
328,1325370318.256,-3152572.342,1.934,41.334,101334.826,Rch_005
329,1325370318.256,-3152572.342,1.934,41.331,101334.826,Rch_005
330,1325370318.256,-3152572.342,1.933,41.331,101334.826,Rch_005
331,1325370318.256,-3152572.342,1.933,41.326,101334.826,Rch_005
332,1325370318.256,-3152572.342,1.933,41.326,110830.347,Rch_005
333,1325370318.256,-3152572.342,1.932,41.326,110830.347,Rch_005
334,1325370318.256,-3152572.342,1.932,41.329,110830.347,Rch_005
335,1325370318.256,-3152572.342,1.929,41.329,110830.347,Rch_005
336,1325370318.256,-3152572.342,1.929,41.329,113442.155,Rch_005
337,1325370318.256,-3152572.342,1.929,41.327,113442.155,Rch_005
338,1325370318.256,-3152572.342,1.929,41.325,113442.155,Rch_005
339,1324220718.645,-3152572.342,1.929,41.325,113442.155,Rch_005
340,1324220718.645,-3152572.342,1.929,41.321,113442.155,Rch_005
341,1324220718.645,-3145192.882,1.929,41.321,113442.155,Rch_005
342,1324220718.645,-3145192.882,1.929,41.321,109091.753,Rch_005
343,1324220718.645,-3139288.905,1.929,41.321,109091.753,Rch_005
344,1324220718.645,-3139288.905,1.929,41.318,109091.753,Rch_005
345,1324220718.645,-3139288.905,1.929,41.316,109091.753,Rch_005
346,1324220718.645,-3142237.388,1.929,41.316,109091.753,Rch_005
347,1324220718.645,-3142237.388,1.916,41.316,109091.753,Rch_005
348,1324220718.645,-3159178.610,1.916,41.316,109091.753,Rch_005
349,1324220718.645,-3159178.610,1.916,41.315,109091.753,Rch_005
350,1324220718.645,-3159178.610,1.916,41.311,109091.753,Rch_005
351,1329164285.328,-3159178.610,1.916,41.311,109091.753,Rch_005
352,1329164285.328,-3159178.610,1.916,41.312,109091.753,Rch_005
353,1329164285.328,-3181831.478,1.916,41.312,109091.753,Rch_005
354,1329164285.328,-3181831.478,1.916,41.316,109091.753,Rch_005
355,1329164285.328,-3177104.856,1.916,41.316,109091.753,Rch_005
356,1329164285.328,-3177104.856,1.916,41.315,109091.753,Rch_005
357,1329974791.013,-3177104.856,1.916,41.315,109091.753,Rch_005
358,1329974791.013,-3164884.493,1.916,41.315,109091.753,Rch_005
359,1329974791.013,-3164884.493,1.916,41.315,105359.829,Rch_005
360,1329974791.013,-3164884.493,1.924,41.315,105359.829,Rch_005
361,1329974791.013,-3164884.493,1.924,41.315,105359.829,Rch_005
362,1329974791.013,-3153130.345,1.924,41.315,105359.829,Rch_005
363,1329974791.013,-3153130.345,1.924,41.315,105359.829,Rch_005
364,1329974791.013,-3185495.658,1.924,41.315,105359.829,Rch_005
365,1329974791.013,-3186520.991,1.924,41.315,105359.829,Rch_005
366,1338141081.076,-3186520.991,1.924,41.315,105359.829,Rch_005
367,1338141081.076,-3186520.991,1.924,41.316,105359.829,Rch_005
368,1338141081.076,-3186520.991,1.924,41.314,105359.829,Rch_005
369,1338141081.076,-3202233.777,1.924,41.314,105359.829,Rch_005
370,1338141081.076,-3202233.777,1.924,41.318,105359.829,Rch_005
371,1338141081.076,-3202233.777,1.924,41.315,105359.829,Rch_005
372,1338141081.076,-3202233.777,1.945,41.315,105359.829,Rch_005
373,1338141081.076,-3202233.777,1.945,41.319,105359.829,Rch_005
374,1338141081.076,-3189922.664,1.945,41.319,105359.829,Rch_005
375,1338141081.076,-3189922.664,1.946,41.319,105359.829,Rch_005
376,1338141081.076,-3189922.664,1.946,41.315,105359.829,Rch_005
377,1338141081.076,-3189922.664,1.946,41.311,105359.829,Rch_005
378,1338141081.076,-3199690.325,1.946,41.311,105359.829,Rch_005
379,1338141081.076,-3199690.325,1.946,41.315,105359.829,Rch_005
380,1338141081.076,-3199690.325,1.929,41.315,105359.829,Rch_005
381,1338141081.076,-3199690.325,1.929,41.315,105094.055,Rch_005
382,1338141081.076,-3214869.691,1.929,41.315,105094.055,Rch_005
383,1338141081.076,-3214869.691,1.929,41.315,105094.055,Rch_005
384,1338141081.076,-3214869.691,1.927,41.315,105094.055,Rch_005
385,1338141081.076,-3192355.624,1.927,41.315,105094.055,Rch_005
386,1338141081.076,-3192355.624,1.939,41.315,105094.055,Rch_005
387,1338141081.076,-3192355.624,1.939,41.317,105094.055,Rch_005
388,1335541393.458,-3192355.624,1.939,41.317,105094.055,Rch_005
389,1335541393.458,-3192355.624,1.939,41.316,105094.055,Rch_005
390,1335541393.458,-3192355.624,1.939,41.315,105094.055,Rch_005
391,1335541393.458,-3192355.624,1.939,41.315,105094.055,Rch_005
392,1335541393.458,-3192355.624,1.939,41.316,105094.055,Rch_005
393,1335578955.694,-3192355.624,1.939,41.316,105094.055,Rch_005
